Replicate,Heterogeneity model,Tree length,LnL gamma rates,LnL free rates,LnL phyloRNN rates,LnL true rates
242,Gamma_autocorrelated,7.434,-26500.120,-26488.800,-25927.897,-25792.394
243,Gamma_autocorrelated,0.615,-5028.790,-4957.340,-4562.919,-4597.148
244,Bimodal_uncorrelated,0.024,-1575.580,-1574.330,-1564.495,-1557.702
245,Bimodal_uncorrelated,0.326,-3864.470,-3864.250,-3815.201,-3832.610
246,Bimodal_uncorrelated,1.003,-6985.650,-6980.490,-6876.283,-6751.491
247,Gamma_autocorrelated,0.466,-4396.690,-4394.540,-4322.034,-4329.675
248,GBM_autocorrelated,0.615,-5249.390,-5248.390,-5210.228,-5246.622
249,Spike-and-slab_uncorrelated,2.367,-13256.040,-13147.890,-13018.344,-13042.321
250,Gamma_uncorrelated,0.217,-2758.190,-2749.830,-2518.617,-2555.375
251,Gamma_uncorrelated,5.731,-12553.610,-12370.480,-11580.426,-11390.488
252,Gamma_uncorrelated,0.364,-3681.390,-3662.860,-3303.968,-3355.986
253,Gamma_uncorrelated,12.854,-30437.950,-30457.990,-29685.132,-29213.556
254,Gamma_uncorrelated,0.357,-3537.000,-3483.360,-3166.781,-3177.714
255,Gamma_autocorrelated,5.247,-18780.850,-18762.020,-17832.510,-17815.565
256,GBM_autocorrelated,16.483,-45042.950,-45042.420,-44950.152,-44944.193
257,Bimodal_uncorrelated,0.172,-2786.220,-2785.990,-2745.320,-2768.903
258,Bimodal_uncorrelated,0.089,-2047.120,-2046.880,-2009.867,-2007.134
259,GBM_uncorrelated,1.116,-7360.900,-7340.850,-6823.944,-6875.420
260,Bimodal_autocorrelated,1.259,-8331.450,-8329.170,-8095.749,-8197.048
261,Bimodal_autocorrelated,0.025,-1572.660,-1572.660,-1562.835,-1566.674
262,Bimodal_autocorrelated,0.063,-1835.360,-1834.490,-1818.004,-1836.583
263,GBM_autocorrelated,0.233,-3106.600,-3106.550,-3056.227,-3068.033
264,mixed_model_mixed_model,0.646,-5568.620,-5562.820,-5351.323,-5962.137
265,Bimodal_autocorrelated,0.684,-6049.290,-6043.450,-5761.583,-5762.697
266,GBM_uncorrelated,10.049,-30310.390,-30255.330,-29656.937,-29454.125
267,Spike-and-slab_autocorrelated,0.047,-1756.530,-1756.170,-1727.977,-1752.610
268,Gamma_autocorrelated,16.428,-33670.760,-33686.470,-33105.606,-32590.764
269,GBM_uncorrelated,2.490,-13508.110,-13481.480,-12891.970,-13038.164
270,Codon_uncorrelated,0.018,-1618.770,-1617.530,-1606.850,-1609.287
271,GBM_autocorrelated,0.932,-6776.020,-6775.970,-6738.380,-6762.554
272,Bimodal_autocorrelated,0.934,-6773.500,-6771.760,-6398.021,-6458.905
273,Spike-and-slab_uncorrelated,0.030,-1694.740,-1694.700,-1677.774,-1684.489
274,GBM_autocorrelated,0.351,-3966.850,-3966.060,-3909.234,-3963.656
275,Gamma_uncorrelated,8.468,-29866.680,-29857.930,-29310.282,-29168.680
276,Gamma_autocorrelated,7.181,-23910.150,-23891.530,-22945.500,-22872.286
277,GBM_uncorrelated,0.164,-2611.320,-2611.200,-2577.859,-2605.520
278,Gamma_uncorrelated,5.505,-19871.590,-19840.290,-19022.057,-19008.069
279,Spike-and-slab_autocorrelated,0.046,-1673.860,-1673.810,-1652.858,-1670.138
280,Bimodal_autocorrelated,0.513,-4591.500,-4589.120,-4561.963,-4591.917
281,GBM_uncorrelated,0.708,-5886.290,-5885.730,-5545.891,-5652.913
282,Codon_uncorrelated,14.399,-36769.040,-36621.620,-35826.281,-35843.936
283,Gamma_uncorrelated,10.603,-29106.390,-29083.370,-28876.118,-28469.203
284,Gamma_autocorrelated,0.042,-1701.840,-1701.300,-1685.730,-1683.463
285,GBM_uncorrelated,11.146,-36488.900,-36481.780,-36516.630,-36232.517
286,Bimodal_autocorrelated,0.061,-1857.660,-1857.450,-1822.397,-1856.359
287,GBM_autocorrelated,0.033,-1683.020,-1682.700,-1632.770,-1644.964
